epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,5114.92,0.91478,0.94324,0.0108,0.84517,0.78013,0.83551,0.64767,0.86764,0.79616,0.0192,0.000349331,0.000349331,0.000349331
43,5235.17,0.89763,0.92045,0.01055,0.80776,0.78032,0.82676,0.6389,0.87132,0.80321,0.01908,0.00034351,0.00034351,0.00034351
44,5355.56,0.90586,0.93364,0.01062,0.83685,0.75778,0.82344,0.63363,0.87045,0.80906,0.01927,0.000337688,0.000337688,0.000337688
45,5478.39,0.89574,0.9241,0.01064,0.83608,0.78819,0.84497,0.6552,0.85677,0.77774,0.01871,0.000331867,0.000331867,0.000331867
46,5602.47,0.89389,0.90556,0.01057,0.84595,0.78437,0.84021,0.65956,0.85197,0.79574,0.01857,0.000326046,0.000326046,0.000326046
47,5726.54,0.88347,0.90615,0.01048,0.85342,0.76945,0.8345,0.6516,0.85857,0.792,0.01893,0.000320225,0.000320225,0.000320225
48,5849.69,0.88,0.8929,0.01027,0.81552,0.79342,0.83395,0.65503,0.85627,0.82178,0.01876,0.000314404,0.000314404,0.000314404
49,5971.85,0.8796,0.8845,0.01034,0.85105,0.78488,0.84344,0.65512,0.86538,0.7842,0.01902,0.000308582,0.000308582,0.000308582
50,6094.54,0.88216,0.8814,0.01021,0.82014,0.80391,0.83328,0.65221,0.85553,0.80446,0.01864,0.000302761,0.000302761,0.000302761
51,6217.01,0.85034,0.85891,0.01019,0.83219,0.796,0.83928,0.6517,0.8429,0.79026,0.01837,0.00029694,0.00029694,0.00029694
52,6338.48,0.86433,0.88147,0.01012,0.86068,0.76808,0.84251,0.66002,0.85451,0.82828,0.01857,0.000291119,0.000291119,0.000291119
53,6460.35,0.86147,0.85169,0.01024,0.83886,0.81211,0.84734,0.66136,0.85185,0.76698,0.01855,0.000285298,0.000285298,0.000285298
54,6582.58,0.86104,0.86192,0.01,0.83311,0.78823,0.84248,0.66122,0.83906,0.79891,0.01833,0.000279476,0.000279476,0.000279476
55,6704.36,0.8569,0.85824,0.01005,0.83881,0.77227,0.83654,0.65771,0.84678,0.80712,0.01855,0.000273655,0.000273655,0.000273655
56,6825.48,0.84519,0.82875,0.00994,0.86582,0.77,0.84237,0.65351,0.85615,0.7885,0.01865,0.000267834,0.000267834,0.000267834
57,6946.82,0.84581,0.81161,0.00962,0.83905,0.78348,0.84259,0.6535,0.85853,0.78229,0.01869,0.000262013,0.000262013,0.000262013
58,7068.05,0.8339,0.81484,0.00979,0.83627,0.79178,0.84496,0.6563,0.86452,0.78127,0.01891,0.000256192,0.000256192,0.000256192
59,7189.08,0.8315,0.80113,0.0096,0.86422,0.79958,0.85016,0.66698,0.8435,0.82031,0.01841,0.00025037,0.00025037,0.00025037
60,7310.45,0.8296,0.80013,0.00967,0.87238,0.79003,0.8472,0.66459,0.84628,0.79273,0.01843,0.000244549,0.000244549,0.000244549
61,7431.74,0.82995,0.79836,0.00951,0.875,0.79335,0.84862,0.66849,0.83847,0.7918,0.01811,0.000238728,0.000238728,0.000238728
62,7553.24,0.8243,0.79453,0.00936,0.86353,0.79035,0.84654,0.66029,0.8332,0.78967,0.01793,0.000232907,0.000232907,0.000232907
63,7675.28,0.81543,0.78291,0.00937,0.87103,0.77827,0.84673,0.66414,0.84098,0.80112,0.0182,0.000227086,0.000227086,0.000227086
64,7796.91,0.80857,0.77884,0.00943,0.86985,0.8033,0.85118,0.66098,0.85954,0.80618,0.01877,0.000221264,0.000221264,0.000221264
65,7918.63,0.80594,0.76693,0.00931,0.85991,0.80186,0.84357,0.6573,0.85181,0.80254,0.01857,0.000215443,0.000215443,0.000215443
66,8041.1,0.80007,0.75705,0.00935,0.83633,0.80357,0.84999,0.66064,0.85858,0.80432,0.01888,0.000209622,0.000209622,0.000209622
67,8163.29,0.80855,0.75742,0.00907,0.8567,0.80104,0.84365,0.65721,0.85048,0.84279,0.01852,0.000203801,0.000203801,0.000203801
68,8285.26,0.80085,0.76132,0.00923,0.88281,0.79907,0.85844,0.67109,0.85862,0.79681,0.0188,0.00019798,0.00019798,0.00019798
69,8406.97,0.79213,0.74451,0.00911,0.86234,0.79499,0.85547,0.66316,0.855,0.80396,0.01865,0.000192158,0.000192158,0.000192158
70,8528.54,0.79904,0.75768,0.00914,0.85782,0.80939,0.85141,0.66496,0.84711,0.79691,0.01843,0.000186337,0.000186337,0.000186337
71,8650.53,0.78502,0.73129,0.00907,0.86423,0.80226,0.85392,0.66718,0.85176,0.81301,0.01867,0.000180516,0.000180516,0.000180516
72,8773.48,0.78483,0.71901,0.00911,0.85627,0.7964,0.84314,0.6605,0.84925,0.78563,0.01846,0.000174695,0.000174695,0.000174695
73,8895.95,0.77845,0.726,0.00886,0.8857,0.79593,0.8559,0.66738,0.85371,0.79097,0.01852,0.000168874,0.000168874,0.000168874
74,9019.35,0.77934,0.72565,0.00886,0.851,0.82325,0.8603,0.67147,0.84187,0.7999,0.01824,0.000163052,0.000163052,0.000163052
75,9143.3,0.76555,0.71029,0.00861,0.86988,0.80308,0.85833,0.66989,0.83666,0.78014,0.01807,0.000157231,0.000157231,0.000157231
76,9266.98,0.76825,0.70426,0.00882,0.84696,0.81894,0.86226,0.66911,0.84278,0.80081,0.01828,0.00015141,0.00015141,0.00015141
77,9391.27,0.76791,0.7006,0.0088,0.8665,0.79722,0.85176,0.66404,0.84518,0.8035,0.01829,0.000145589,0.000145589,0.000145589
78,9515.44,0.76379,0.69967,0.00861,0.85148,0.82566,0.85029,0.66304,0.84795,0.8072,0.01825,0.000139768,0.000139768,0.000139768
79,9639.14,0.76149,0.69658,0.00881,0.84905,0.82469,0.85538,0.66321,0.84787,0.80726,0.01835,0.000133946,0.000133946,0.000133946
80,9763.28,0.76247,0.70838,0.00861,0.83583,0.82943,0.858,0.66496,0.85431,0.80561,0.01848,0.000128125,0.000128125,0.000128125
81,9887.15,0.75176,0.6823,0.00862,0.85818,0.80977,0.85469,0.67029,0.84323,0.81271,0.01817,0.000122304,0.000122304,0.000122304
82,10011.5,0.75666,0.69083,0.00849,0.86224,0.80671,0.85503,0.67126,0.84706,0.8017,0.01837,0.000116483,0.000116483,0.000116483
83,10135.3,0.74469,0.68403,0.0085,0.85442,0.81929,0.85235,0.66502,0.84585,0.81214,0.01823,0.000110662,0.000110662,0.000110662
84,10259.1,0.75024,0.67263,0.0084,0.86793,0.80124,0.85385,0.66769,0.84748,0.80828,0.01817,0.00010484,0.00010484,0.00010484
85,10382.8,0.73568,0.66359,0.00839,0.85013,0.80886,0.85505,0.66975,0.84972,0.80584,0.01831,9.90192e-05,9.90192e-05,9.90192e-05
86,10506.5,0.74569,0.6802,0.00843,0.8468,0.83077,0.85863,0.67153,0.84529,0.7947,0.01821,9.3198e-05,9.3198e-05,9.3198e-05
87,10630.4,0.73774,0.66189,0.00833,0.84742,0.82034,0.85628,0.66688,0.85124,0.81166,0.01835,8.73768e-05,8.73768e-05,8.73768e-05
88,10753.8,0.72955,0.64543,0.00836,0.84251,0.84418,0.85526,0.66779,0.85205,0.81134,0.01841,8.15556e-05,8.15556e-05,8.15556e-05
89,10877.4,0.719,0.64403,0.00821,0.85302,0.82291,0.8531,0.66462,0.85119,0.83711,0.01835,7.57344e-05,7.57344e-05,7.57344e-05
90,11001,0.72344,0.64326,0.00827,0.86094,0.8131,0.85694,0.66676,0.85295,0.82347,0.01835,6.99132e-05,6.99132e-05,6.99132e-05
91,11124.8,0.67376,0.55569,0.00879,0.84435,0.82817,0.85241,0.66331,0.86024,0.82816,0.01852,6.4092e-05,6.4092e-05,6.4092e-05
92,11247.9,0.64588,0.51989,0.0083,0.83938,0.82724,0.85368,0.66332,0.85697,0.82258,0.01849,5.82708e-05,5.82708e-05,5.82708e-05
93,11371,0.64124,0.51166,0.00811,0.87993,0.81216,0.85839,0.66881,0.85675,0.80748,0.0185,5.24496e-05,5.24496e-05,5.24496e-05
94,11493.8,0.63331,0.51311,0.00803,0.87164,0.81137,0.86153,0.6714,0.85251,0.81478,0.01841,4.66284e-05,4.66284e-05,4.66284e-05
95,11616.6,0.63484,0.49927,0.00801,0.8555,0.81914,0.86324,0.67132,0.85563,0.82174,0.01852,4.08072e-05,4.08072e-05,4.08072e-05
96,11739.5,0.62455,0.50276,0.00778,0.86268,0.8231,0.86478,0.67414,0.85179,0.82234,0.0183,3.4986e-05,3.4986e-05,3.4986e-05
97,11862.6,0.622,0.4964,0.0077,0.84409,0.82753,0.86225,0.67329,0.84873,0.83376,0.01818,2.91648e-05,2.91648e-05,2.91648e-05
98,11985.2,0.62843,0.49946,0.00791,0.8453,0.83133,0.86228,0.67108,0.85135,0.82202,0.01826,2.33436e-05,2.33436e-05,2.33436e-05
99,12107.9,0.61483,0.48288,0.00777,0.87317,0.81031,0.86409,0.67175,0.8491,0.82365,0.01824,1.75224e-05,1.75224e-05,1.75224e-05
100,12230.6,0.61996,0.4952,0.00769,0.87049,0.81343,0.86296,0.67136,0.85143,0.8247,0.01832,1.17012e-05,1.17012e-05,1.17012e-05
