epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8078.53,1.10492,0.52253,0.01384,0.91312,0.90051,0.9314,0.61863,1.17687,0.54171,0.03252,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8329.12,1.09051,0.5336,0.01361,0.94293,0.89719,0.93357,0.63257,1.16308,0.52444,0.03202,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8579.88,1.10012,0.53598,0.01375,0.92996,0.88489,0.93371,0.62852,1.15201,0.55007,0.0315,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8831.05,1.08843,0.5288,0.01362,0.92805,0.88834,0.92572,0.62506,1.15206,0.5264,0.03179,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9081.86,1.08512,0.51429,0.0134,0.93161,0.87906,0.93158,0.6294,1.15343,0.53145,0.03174,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9332.56,1.07656,0.49106,0.01344,0.9471,0.88082,0.93122,0.63159,1.15518,0.51725,0.03229,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9583.16,1.07897,0.48998,0.01334,0.93046,0.89188,0.93345,0.63324,1.16593,0.51439,0.03252,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9833.81,1.074,0.49602,0.01329,0.94424,0.89106,0.94076,0.6399,1.1367,0.49839,0.03104,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10085.4,1.06994,0.49962,0.01342,0.94301,0.88842,0.93689,0.63823,1.13504,0.51415,0.03122,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10336.1,1.06167,0.49029,0.013,0.94439,0.89543,0.94053,0.64772,1.12433,0.50051,0.03081,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10587.2,1.05629,0.49366,0.01308,0.94605,0.9013,0.94303,0.63686,1.13802,0.48716,0.03172,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10838,1.05732,0.48753,0.01303,0.94213,0.89519,0.94002,0.63937,1.13719,0.49875,0.03154,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11088.9,1.0469,0.4986,0.01277,0.92804,0.8922,0.93548,0.63966,1.14052,0.5099,0.03166,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11339.5,1.04495,0.48276,0.01279,0.92857,0.89526,0.92954,0.63401,1.15209,0.5056,0.03215,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,11590.4,1.04357,0.46996,0.01292,0.92493,0.89904,0.93365,0.63865,1.134,0.51269,0.03155,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11841.8,1.04148,0.47085,0.01274,0.93468,0.89652,0.94325,0.64398,1.11257,0.51015,0.03065,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12092.8,1.0337,0.45475,0.0126,0.93827,0.89545,0.93891,0.64498,1.12093,0.51668,0.03093,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12343.6,1.04094,0.45914,0.01268,0.93655,0.9062,0.94098,0.64271,1.12283,0.49201,0.03126,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12594.8,1.02432,0.44356,0.0124,0.94498,0.89393,0.93532,0.64713,1.10967,0.5016,0.03068,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12846.3,1.02203,0.44893,0.01251,0.9355,0.89828,0.93459,0.64809,1.11082,0.50732,0.03085,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13097.3,1.01699,0.44959,0.01226,0.94269,0.89377,0.93527,0.64368,1.11441,0.50141,0.0309,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13348.3,1.00569,0.4535,0.01225,0.94595,0.88834,0.93273,0.64886,1.1118,0.50161,0.03078,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,13599.6,1.00535,0.4483,0.0122,0.95266,0.89778,0.94261,0.64981,1.10773,0.49729,0.03053,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13850.7,1.01203,0.45959,0.01218,0.93915,0.90167,0.94016,0.65146,1.10374,0.47662,0.03049,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14102.1,0.99839,0.43754,0.01203,0.9331,0.9006,0.93588,0.64727,1.11142,0.48952,0.03077,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14353.5,1.00022,0.43636,0.01218,0.92958,0.90595,0.94199,0.65292,1.10124,0.48541,0.03032,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,14605.4,0.9989,0.42913,0.01212,0.93724,0.91033,0.94209,0.65715,1.09425,0.47422,0.03005,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,14857.3,0.97987,0.42596,0.01188,0.94473,0.91068,0.94303,0.65982,1.09011,0.47487,0.02996,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,15109.3,0.98142,0.43334,0.01183,0.94676,0.90392,0.93915,0.6577,1.08883,0.48099,0.02999,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15360.9,0.98119,0.4218,0.01186,0.93751,0.90871,0.93846,0.6547,1.09378,0.49405,0.03003,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,15612.8,0.97138,0.42465,0.01169,0.93559,0.90092,0.9399,0.65782,1.08909,0.50137,0.02973,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15864.2,0.96341,0.41636,0.01151,0.93474,0.90034,0.94058,0.65634,1.09176,0.5022,0.02991,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16115.5,0.96306,0.399,0.01163,0.95197,0.89249,0.9431,0.65656,1.09715,0.49861,0.02996,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16366.9,0.96537,0.41072,0.01162,0.94577,0.90261,0.94548,0.65949,1.09874,0.48502,0.03007,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,16618.4,0.96083,0.40899,0.01148,0.94397,0.90265,0.93979,0.65689,1.10059,0.48483,0.03017,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,16870.5,0.95154,0.40158,0.01135,0.94944,0.89462,0.94311,0.65651,1.09597,0.49095,0.03014,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,17122.4,0.94866,0.39376,0.01121,0.94609,0.89487,0.94419,0.65766,1.09451,0.47947,0.03008,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17373.8,0.9423,0.38557,0.01132,0.94421,0.90655,0.94144,0.65836,1.09598,0.4788,0.03012,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,17625.6,0.94136,0.37797,0.01115,0.94418,0.89768,0.94245,0.65525,1.09358,0.48654,0.03017,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,17876.7,0.94422,0.38377,0.01117,0.95262,0.89483,0.94299,0.6582,1.09595,0.47886,0.03026,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,18128,0.93596,0.38584,0.01113,0.9531,0.89932,0.94577,0.6592,1.09541,0.48377,0.03019,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,18379.2,0.93147,0.39001,0.01102,0.95026,0.90314,0.94543,0.65889,1.09778,0.48179,0.03024,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,18630.3,0.9267,0.3845,0.01098,0.94168,0.90781,0.939,0.6579,1.09207,0.49127,0.02998,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,18881.1,0.92306,0.37599,0.01097,0.95061,0.90409,0.94301,0.65767,1.09475,0.47969,0.03013,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,19132.3,0.92022,0.37728,0.01083,0.95137,0.89739,0.93901,0.65593,1.09358,0.4784,0.03012,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,19383.1,0.90767,0.37492,0.01063,0.95585,0.89447,0.93954,0.65709,1.09345,0.47339,0.03013,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,19634.3,0.9099,0.3712,0.01075,0.94072,0.90944,0.93962,0.65691,1.09238,0.47883,0.03011,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,19885.1,0.89262,0.36139,0.01056,0.96161,0.89511,0.9398,0.65835,1.08768,0.48511,0.0299,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
